ParentSKU,Site Id,Year,Month,Category Name ID,Unit,Qty,Price,Net Sales calculated,Cash Discount,Amount to Customer,MRP,Pack Size,Pack Unit Id,State,Zone,Master Category,Size,Rank,Date
F0033,AHMEDABAD,2017,4,0,NO,1621.0,54,82557,20,93640,80.0,30.0,GM,DL,WEST2,3,30gm,4,2017-04-01
F0033,AHMEDABAD,2017,5,0,NO,651.0,51,31473,21,35760,80.0,30.0,GM,DL,WEST2,3,30gm,4,2017-05-01
F0033,AHMEDABAD,2017,6,0,NO,457.0,46,19580,12,22293,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-06-01
F0033,AHMEDABAD,2017,7,0,NO,1985.0,41,78144,0,78144,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-07-01
F0033,AHMEDABAD,2017,8,0,NO,6.0,38,228,0,228,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-08-01
F0033,AHMEDABAD,2017,9,0,NO,1440.0,43,57795,0,57795,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-09-01
F0033,AHMEDABAD,2017,11,0,NO,1522.0,46,64639,0,64639,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-11-01
F0033,AHMEDABAD,2017,12,0,NO,3168.0,45,136603,0,136603,70.0,30.0,GM,DL,WEST2,3,30gm,4,2017-12-01
F0033,AHMEDABAD,2018,1,0,NO,1584.0,45,68425,0,68425,70.0,30.0,GM,DL,WEST2,3,30gm,4,2018-01-01
F0033,AHMEDABAD,2018,2,0,NO,5981.0,46,258791,0,258791,70.0,30.0,GM,DL,WEST2,3,30gm,4,2018-02-01
F0033,AHMEDABAD,2018,3,0,NO,2962.0,46,128639,0,128639,70.0,30.0,GM,DL,WEST2,3,30gm,4,2018-03-01
F0033,AHMEDABAD,2018,4,0,NO,1655.0,46,70930,0,70930,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-04-01
F0033,AHMEDABAD,2018,5,0,NO,2340.0,46,99880,0,99880,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-05-01
F0033,AHMEDABAD,2018,6,0,NO,3061.0,46,123646,0,123646,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-06-01
F0033,AHMEDABAD,2018,7,0,NO,1245.0,44,49808,0,49808,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-07-01
F0033,AHMEDABAD,2018,8,0,NO,1347.0,45,54964,0,54964,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-08-01
F0033,AHMEDABAD,2018,9,0,NO,677.0,46,29324,0,29324,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-09-01
F0033,AHMEDABAD,2018,10,0,NO,2165.0,46,88203,0,88203,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-10-01
F0033,AHMEDABAD,2018,11,0,NO,581.0,44,23609,0,23609,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-11-01
F0033,AHMEDABAD,2018,12,0,NO,2186.0,45,93578,0,93578,70.0,30.0,GM,DL,WEST,3,30gm,4,2018-12-01
F0033,AHMEDABAD,2019,1,0,NO,80.0,45,3534,0,3534,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-01-01
F0033,AHMEDABAD,2019,2,0,NO,2510.0,45,111301,0,111301,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-02-01
F0033,AHMEDABAD,2019,3,0,NO,1872.0,46,83457,0,83457,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-03-01
F0033,AHMEDABAD,2019,4,0,NO,1872.0,45,83213,0,83213,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-04-01
F0033,AHMEDABAD,2019,5,0,NO,1694.0,46,75249,0,75249,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-05-01
F0033,AHMEDABAD,2019,6,0,NO,1728.0,44,76297,0,76297,70.0,30.0,GM,DL,WEST,3,30gm,4,2019-06-01
F0033,AHMEDABAD,2019,7,0,NO,1576.0,48,74422,0,74422,74.7727272727273,30.0,GM,DL,WEST,3,30gm,4,2019-07-01
F0033,AHMEDABAD,2019,8,0,NO,1240.0,50,60291,0,60291,75.0,30.0,GM,DL,WEST,3,30gm,4,2019-08-01
F0033,AHMEDABAD,2019,9,0,NO,1449.0,47,67126,0,67126,75.0,30.0,GM,DL,WEST,3,30gm,4,2019-09-01
F0033,AHMEDABAD,2019,10,0,NO,1845.0,48,75773,0,75773,75.0,30.0,GM,DL,WEST,3,30gm,4,2019-10-01
F0033,AHMEDABAD,2019,11,0,NO,1570.0,50,64097,0,64097,75.0,30.0,GM,DL,WEST,3,30gm,4,2019-11-01
F0033,AHMEDABAD,2019,12,0,NO,2338.0,49,94742,0,94742,75.0,30.0,GM,DL,WEST,3,30gm,4,2019-12-01
F0033,AHMEDABAD,2020,1,0,NO,2352.0,51,100564,0,100564,77.0833333333333,30.0,GM,DL,West,3,30gm,4,2020-01-01
F0033,AHMEDABAD,2020,2,0,NO,2172.0,53,93903,0,93903,80.0,30.0,GM,DL,WEST,3,30gm,4,2020-02-01
F0033,BANGALORE,2017,4,0,NO,389.0,55,20508,0,23482,80.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-04-01
F0033,BANGALORE,2017,5,0,NO,700.0,51,32941,1,37690,80.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-05-01
F0033,BANGALORE,2017,6,0,NO,1102.0,52,53147,0,60827,79.0625,30.0,GM,DL,SOUTH,3,30gm,4,2017-06-01
F0033,BANGALORE,2017,7,0,NO,1450.0,42,56843,0,56843,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-07-01
F0033,BANGALORE,2017,8,0,NO,1190.0,43,48433,0,48433,70.8823529411765,30.0,GM,DL,SOUTH,3,30gm,4,2017-08-01
F0033,BANGALORE,2017,9,0,NO,814.0,42,33472,0,33472,70.8,30.0,GM,DL,SOUTH,3,30gm,4,2017-09-01
F0033,BANGALORE,2017,10,0,NO,649.0,40,25209,0,25209,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-10-01
F0033,BANGALORE,2017,11,0,NO,1814.0,42,75242,0,75242,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-11-01
F0033,BANGALORE,2017,12,0,NO,1098.0,43,48135,0,48135,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2017-12-01
F0033,BANGALORE,2018,1,0,NO,1815.0,44,77637,0,77637,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-01-01
F0033,BANGALORE,2018,2,0,NO,603.0,44,26371,0,26371,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-02-01
F0033,BANGALORE,2018,3,0,NO,1078.0,44,47509,0,47509,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-03-01
F0033,BANGALORE,2018,4,0,NO,1739.0,43,73809,0,73809,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-04-01
F0033,BANGALORE,2018,5,0,NO,2477.0,43,106141,0,106141,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-05-01
F0033,BANGALORE,2018,6,0,NO,2128.0,43,85865,0,85865,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-06-01
F0033,BANGALORE,2018,7,0,NO,1563.0,45,63750,0,63750,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-07-01
F0033,BANGALORE,2018,8,0,NO,889.0,43,36077,0,36077,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-08-01
F0033,BANGALORE,2018,9,0,NO,1200.0,44,52678,0,52678,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-09-01
F0033,BANGALORE,2018,10,0,NO,1150.0,43,47509,0,47509,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-10-01
F0033,BANGALORE,2018,11,0,NO,556.0,42,22543,0,22543,70.0,30.0,GM,DL,SOUTH,3,30gm,4,2018-11-01
